people-per-km,people-per-miles,Country,City
3944.54,10216.34,Pakistan,Karachi
3997.61,10353.80,China,Hefei
4058.53,10511.59,China,Zhengzhou
4116.62,10662.05,Germany,Berlin
4315.04,11175.95,China,Dongguan
4516.29,11697.18,Kenya,Nairobi
5294.50,13712.73,Spain,Madrid
5613.87,14539.91,UnitedKingdom,London
5889.43,15253.62,Ethiopia,AddisAbaba
596.00,1543.64,China,Changsha
613.71,1589.52,China,Xi'an
624.51,1617.49,China,Shenyang
6289.31,16289.29,China,Shenzhen
629.68,1630.87,China,Chengdu
6336.80,16412.31,India,Jaipur
6608.48,17115.94,China,HongKong
6912.58,17903.57,India,Pune
704.88,1825.63,China,Suzhou
7560.84,19582.56,Thailand,Bangkok
774.81,2006.75,China,Ningbo
8268.40,21415.13,China,Hangzhou
8517.15,22059.40,Japan,Yokohama
8625.94,22341.16,China,Harbin
8676.67,22472.57,Brazil,RiodeJaneiro
8708.14,22554.07,Myanmar,Yangon
9139.08,23670.20,SouthKorea,Incheon
9302.36,24093.11,Singapore,Singapore
9338.53,24186.77,Chile,Santiago
943.71,2444.20,China,Tianjin
945.96,2450.04,China,Wuhan
10331.23,26757.87,SouthKorea,Busan
10729.98,27790.62,India,Hyderabad
10966.17,28402.35,UnitedStates,NewYork
1103.01,2856.79,China,Nanjing
11135.47,28840.85,Brazil,S?oPaulo
11433.79,29613.48,SouthAfrica,Johannesburg
11554.49,29926.11,Russia,SaintPetersburg
11909.27,30845.00,India,Bangalore
11968.68,30998.86,Russia,Moscow
12414.91,32154.59,Afghanistan,Kabul
1322.71,3425.82,China,Beijing
13711.75,35513.42,Nigeria,Lagos
14607.90,37834.44,Morocco,Casablanca
14615.79,37854.87,Mexico,MexicoCity
14667.18,37987.96,Egypt,Giza
14789.71,38305.32,Japan,Tokyo
14971.24,38775.49,Pakistan,Faisalabad
1502.35,3891.10,SouthAfrica,Durban
15045.81,38968.63,Argentina,BuenosAires
15142.91,39220.11,Iran,Tehran
1529.68,3961.87,SouthAfrica,CapeTown
1540.65,3990.27,NorthKorea,Pyongyang
15772.20,40849.96,India,Chennai
15905.24,41194.54,Tanzania,DaresSalaam
16001.22,41443.14,Iraq,Baghdad
16060.47,41596.58,Indonesia,Jakarta
1609.10,4167.56,SouthAfrica,Ekurhuleni
16201.57,41962.03,SouthKorea,Seoul
16288.29,42186.65,SaudiArabia,Riyadh
16382.28,42430.06,Vietnam,HoChiMinhCity
1749.92,4532.28,China,Zhongshan
1759.62,4557.41,China,Guangzhou
18593.84,48158.02,Colombia,Bogotá
1926.82,4990.46,Taiwan,NewTaipeiCity
1958.22,5071.79,SaudiArabia,Jeddah
19990.89,51776.36,India,Ahmedabad
2007.23,5198.72,Egypt,Alexandria
2078.49,5383.27,China,Xiamen
2175.58,5634.74,Vietnam,Hanoi
22139.09,57340.20,Pakistan,Lahore
2248.70,5824.13,IvoryCoast,Abidjan
2339.61,6059.58,Turkey,Ankara
23887.54,61868.68,Bangladesh,Dhaka
23893.11,61883.11,India,Delhi
24195.22,62665.56,DemocraticRepublicoftheCongo,Kinshasa
24229.36,62754.00,Turkey,Istanbul
24306.45,62953.67,India,Kolkata
2443.77,6329.36,China,Foshan
25581.70,66256.56,Egypt,Cairo
2558.71,6627.05,China,Wenzhou
2611.40,6763.52,China,Shantou
27916.27,72303.09,India,Surat
28426.07,73623.45,India,Mumbai
3275.79,8484.30,UnitedStates,LosAngeles
3328.59,8621.05,Peru,Lima
366.07,948.13,China,Chongqing
3814.10,9878.51,China,Shanghai
