City,Population,Totalarea(km),Country
Chongqing,30165500 ,82403.00 ,China
Shanghai,24183300 ,6340.50 ,China
Beijing,21707000 ,16411.00 ,China
Lagos,16060303 ,1171.28 ,Nigeria
Istanbul,15029231 ,620.29 ,Turkey
Karachi,14910352 ,3780.00 ,Pakistan
Guangzhou,13081000 ,7434.00 ,China
Shenzhen,12528300 ,1992.00 ,China
Mumbai,12442373 ,437.71 ,India
Moscow,12229000 ,1021.75 ,Russia
S?oPaulo,12038000 ,1081.05 ,Brazil
Kinshasa,11462000 ,473.73 ,DemocraticRepublicoftheCongo
Tianjin,11249000 ,11920.00 ,China
Lahore,11126000 ,502.55 ,Pakistan
Delhi,11034555 ,461.83 ,India
Jakarta,10624000 ,661.50 ,Indonesia
Dongguan,10615000 ,2460.00 ,China
Seoul,9806000 ,605.25 ,SouthKorea
Foshan,9279000 ,3797.00 ,China
Tokyo,9273000 ,626.99 ,Japan
Chengdu,9012000 ,14312.00 ,China
Lima,8894000 ,2672.00 ,Peru
MexicoCity,8875000 ,607.22 ,Mexico
London,8825001 ,1572.00 ,UnitedKingdom
Tehran,8694000 ,574.13 ,Iran
NewYork,8622698 ,786.30 ,UnitedStates
Bangalore,8443675 ,709.00 ,India
Shenyang,8106171 ,12980.00 ,China
Dhaka,8063000 ,337.54 ,Bangladesh
Wuhan,8035000 ,8494.00 ,China
Bogotá,7963000 ,428.26 ,Colombia
Cairo,7740000 ,302.56 ,Egypt
Ningbo,7605689 ,9816.23 ,China
HoChiMinhCity,7431000 ,453.60 ,Vietnam
Nanjing,7260000 ,6582.00 ,China
HongKong,7298600 ,1104.43 ,China
Hanoi,7232700 ,3324.50 ,Vietnam
Changsha,7044118 ,11819.00 ,China
Hangzhou,7035000 ,850.83 ,China
Ahmedabad,7021000 ,351.21 ,India
Hyderabad,6993262 ,651.75 ,India
Baghdad,6793000 ,424.53 ,Iraq
Chennai,6727000 ,426.51 ,India
Riyadh,6694000 ,410.97 ,SaudiArabia
RiodeJaneiro,6520000 ,751.44 ,Brazil
Xi'an,6220000 ,10135.00 ,China
Suzhou,5983000 ,8488.00 ,China
Surat,5868000 ,210.20 ,India
Bangkok,5782000 ,764.73 ,Thailand
Santiago,5561000 ,595.49 ,Chile
Singapore,5607000 ,602.75 ,Singapore
Shantou,5391028 ,2064.42 ,China
SaintPetersburg,5351000 ,463.11 ,Russia
Harbin,5299000 ,614.31 ,China
DaresSalaam,5257000 ,330.52 ,Tanzania
Yangon,5214000 ,598.75 ,Myanmar
Johannesburg,4949000 ,432.84 ,SouthAfrica
Abidjan,4765000 ,2119.00 ,IvoryCoast
Alexandria,4616625 ,2300.00 ,Egypt
Kolkata,4496694 ,185.00 ,India
Ankara,4470800 ,1910.92 ,Turkey
Giza,4239988 ,289.08 ,Egypt
Zhengzhou,4122087 ,1015.66 ,China
LosAngeles,3976322 ,1213.85 ,UnitedStates
NewTaipeiCity,3954929 ,2052.57 ,Taiwan
CapeTown,3740026 ,2444.97 ,SouthAfrica
Yokohama,3726167 ,437.49 ,Japan
Berlin,3671000 ,891.75 ,Germany
Busan,3590000 ,347.49 ,SouthKorea
Xiamen,3531347 ,1699.00 ,China
Jeddah,3456259 ,1765.00 ,SaudiArabia
Durban,3442361 ,2291.31 ,SouthAfrica
Kabul,3414100 ,275.00 ,Afghanistan
Casablanca,3359818 ,230.00 ,Morocco
Hefei,3352076 ,838.52 ,China
Pyongyang,3255388 ,2113.00 ,NorthKorea
Madrid,3207247 ,605.77 ,Spain
Faisalabad,3203846 ,214.00 ,Pakistan
Ekurhuleni,3178470 ,1975.31 ,SouthAfrica
Nairobi,3138369 ,694.90 ,Kenya
Zhongshan,3121275 ,1783.67 ,China
Pune,3115431 ,450.69 ,India
AddisAbaba,3103673 ,526.99 ,Ethiopia
Jaipur,3073350 ,485.00 ,India
BuenosAires,3054300 ,203.00 ,Argentina
Wenzhou,3039439 ,1187.88 ,China
Incheon,3002645 ,328.55 ,SouthKorea
